model,seed,category,group,accuracy,macro_f1,mae,pearson,selection_score
MulT,44,modality_rho,audio/0.3,0.5888278388278388,0.5851383977538545,0.6094959794924059,0.6391510001768428,0.7229897683553451
MulT,44,modality_rho,audio/0.4,0.5856227106227107,0.5829228520204277,0.6095691642915019,0.6393216004027952,0.7216528755323214
MulT,44,modality_rho,audio/0.5,0.5773809523809523,0.5762212738216812,0.6097887497149653,0.6392457106987237,0.717898405816542
MulT,44,modality_location,audio/early,0.5895604395604396,0.5864080624914553,0.6075152296004919,0.6407250043322459,0.7237696164878173
MulT,44,modality_location,audio/middle,0.5873626373626374,0.5838879217951916,0.6091363482704325,0.6396208294837832,0.7223845622969954
MulT,44,modality_location,audio/late,0.5906593406593407,0.5866674188037744,0.6104817380755116,0.6388495557542373,0.7237511452485788
MulT,44,modality_rho,vision/0.1,0.6048534798534798,0.5966762193715744,0.6077320877003787,0.6431138786385103,0.7304494893152282
MulT,44,modality_rho,vision/0.2,0.6080586080586081,0.5987712233675817,0.6091937957137086,0.6438609410236279,0.7318070006630965
MulT,44,modality_rho,vision/0.3,0.6117216117216118,0.6023003785656348,0.6123956199240744,0.6423752312903164,0.7332859173195981
MulT,44,modality_rho,vision/0.4,0.6094322344322345,0.5984473989567806,0.6165033710349501,0.6404282396369901,0.731335797842088
MulT,44,modality_rho,vision/0.5,0.6007326007326007,0.5873857222862782,0.6209200759309143,0.6371323882850658,0.7257994594598982
